Ts’a7is
Tl’its’aa
ch’itaapi
tsatikwīs
ts’atiikwis,tcītapī
7aahuus,?aahuus
Kw’ukw’ukwhulh
StsEeʹlis,Sków-wun-nuts
clay.o.qua,Tla’ohkw
Tê’lzenten
Toxoxoi’tcen
Seä`tcx,Skoyá:m
S’kutzas,Sk’tsas
Lexwska:la,Lūqskӓʹla
NQoíctEn,Nxo’isten
(š)xwúml∂qš,Sxo’meliks
Qā'aqtca,xáxtsa
Thqwá:lh
kǝlíc̓,Shts’emines
lalá?x∂n,Lala’xxen
Sme’mits,Smê’mîts
tEkwä’tlōc,quqéwelq
kwa.ls,Qwó:ls
xélαs,xe’lαs
siyéαqu,siyéɑqu
Tselilténem
t'átαmaus,tsćtsαmaus
shts’emines,Shts’ets’mines
thek’min,Thuq’min
kwǝmlǝxwsǝn
qaqa’lelel,qaqa’lєłəl
s'wé'li,s’wé’li
t'αpt'óp
t'αmmiαx',t’єmiha’y
iáiaθζ,i’a’yѲəl
səli’si
layúmsζ
kw’emiyaken,Qwumi'iqun'
Tha’themals,Ѳ’a’Ѳ’əmals
lεʹxǝwe,la’xawe
Stitot:s,tita’s
Swóyel
Tl’elpoles
S’amuna
Swalq!sela,Xwilkw’sale
lhemlhemelets’
T’aat’ka7,Teetqe'
Xwtl’epnats
dzElē’dis
gwa’εdzēε,gwaci’
q!ō’gwadēc
hē’nax˙ts!Eεwas
ts!ē’nadē
q!ō’gwadīlbēε
t!E’mxusEm,tE’mxsEm
tsE’lxumEts!a
dā’g˙ōεs
pE’nyadēc
ēεawē’g˙aεlis
g˙iōxu,g•Eyō’xu
qwaεnēqwā’la
ta’yagoł,ta’yaguł
lEgō’εyodaas
āx˙atbēε,axyadbi’
gwala’di,q!walā’de
qēlalaas
q!ō’gwadilbēє
qē’łbaas
hă’nwadēc,Hánwati
dEg˙ī’łbala
k•ā’dzEk!waas
ā’snaā’k˙!ē,Ah-ash-nah-ki
εmElεmElxLōε
L!ē’naas
g˙ō’g˙oεyEwēε
xŭ’lgwadēc
gŭ’myadēc
q!ŭmE’ngwis
Káketūn,qaqē’tEn
tsElēxwas
q!ō’gwadēc
lā’yadēc
hă’myadēc
ast!a’єxu
wā’k˙as,waqyεs
g˙ō’k!wa
Wah-sil-las,wasēεlas
xEgwā’s
L!ā’qwaxsdElis
xExudEεma'
ts!Ele’qanuku
t!Ex•ostâ’la
tsE’nxwa
ts!ā’ts!ap!ālas
xEda’dēc
hă’mdzas
t!E’lyats!e
t!E’lyadēc
tsE’lwadēc
t!E’lyats!e
t!E’єnxĻēє
hā’myadēc
tsE’lxumEdzēk!ŭs
pēgadēc
tEwī’nadēc
ts!ō’yadēc
g•ō’xudEєms
wā’balis
wŭgā’dēc
t!Ex•ā’la
x•ō’yas
g•ŏxudEmtsīdzēє,p!ā’LElag•iєlaku
pēgadēc
tsE’lts’Elēnuku
nEgwa’dēc
g•ōxus dzō’noq!wa
g•ōxus x•í’nt!ālaga
t!ElsmEdzEgwī’s
q!waєnē’nuku
nEgwa’dēc
q!ă’mdzEgwadēc
ā’Lēg•aєlis
dza’wade,Dzāwadē
q!ŭ’nyadēc
g˙Eg˙ō’k!wał
gwā’xēla
xE’nεyadzEmg˙iεlaku
q!ŭ’nsbēε
hă’myadēc
dēqwēL!a
xŭsE’la
xwē’εxawēε
